,MSA,msa name,cluster_number
189,29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",0
190,29340,"Lake Charles, LA (Metropolitan Statistical Area)",0
191,29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",0
192,29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",0
193,29540,"Lancaster, PA (Metropolitan Statistical Area)",0
194,29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",0
195,29700,"Laredo, TX (Metropolitan Statistical Area)",0
196,29740,"Las Cruces, NM (Metropolitan Statistical Area)",0
197,29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",3
198,29940,"Lawrence, KS (Metropolitan Statistical Area)",0
199,30020,"Lawton, OK (Metropolitan Statistical Area)",0
200,30140,"Lebanon, PA (Metropolitan Statistical Area)",0
201,30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",0
202,30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",0
203,30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",0
204,30620,"Lima, OH (Metropolitan Statistical Area)",0
205,30700,"Lincoln, NE (Metropolitan Statistical Area)",0
206,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",0
207,30860,"Logan, UT-ID (Metropolitan Statistical Area)",0
208,30980,"Longview, TX (Metropolitan Statistical Area)",0
209,31020,"Longview, WA (Metropolitan Statistical Area)",0
210,31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",4
211,31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",0
212,31180,"Lubbock, TX (Metropolitan Statistical Area)",0
213,31340,"Lynchburg, VA (Metropolitan Statistical Area)",0
214,31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",0
215,31460,"Madera, CA (Metropolitan Statistical Area)",0
216,31540,"Madison, WI (Metropolitan Statistical Area)",0
217,31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",0
218,31740,"Manhattan, KS (Metropolitan Statistical Area)",0
219,31860,"Mankato, MN (Metropolitan Statistical Area)",0
220,31900,"Mansfield, OH (Metropolitan Statistical Area)",0
221,32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",0
222,32780,"Medford, OR (Metropolitan Statistical Area)",0
223,32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",0
224,32900,"Merced, CA (Metropolitan Statistical Area)",0
225,33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",1
226,33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",0
227,33220,"Midland, MI (Metropolitan Statistical Area)",0
228,33260,"Midland, TX (Metropolitan Statistical Area)",0
229,33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",3
230,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",3
231,33540,"Missoula, MT (Metropolitan Statistical Area)",0
232,33660,"Mobile, AL (Metropolitan Statistical Area)",0
233,33700,"Modesto, CA (Metropolitan Statistical Area)",0
234,33740,"Monroe, LA (Metropolitan Statistical Area)",0
235,33780,"Monroe, MI (Metropolitan Statistical Area)",0
236,33860,"Montgomery, AL (Metropolitan Statistical Area)",0
237,34060,"Morgantown, WV (Metropolitan Statistical Area)",0
238,34100,"Morristown, TN (Metropolitan Statistical Area)",0
239,34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",0
240,34620,"Muncie, IN (Metropolitan Statistical Area)",0
241,34740,"Muskegon, MI (Metropolitan Statistical Area)",0
242,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",0
243,34900,"Napa, CA (Metropolitan Statistical Area)",0
244,34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",0
245,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",3
246,35100,"New Bern, NC (Metropolitan Statistical Area)",0
247,35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",0
248,35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",3
249,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",2
250,35660,"Niles, MI (Metropolitan Statistical Area)",0
251,35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",0
252,35980,"Norwich-New London, CT (Metropolitan Statistical Area)",0
253,36100,"Ocala, FL (Metropolitan Statistical Area)",0
254,36140,"Ocean City, NJ (Metropolitan Statistical Area)",0
255,36220,"Odessa, TX (Metropolitan Statistical Area)",0
256,36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",0
257,36420,"Oklahoma City, OK (Metropolitan Statistical Area)",3
258,36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",0
259,36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",0
260,36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",3
261,36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",0
262,36980,"Owensboro, KY (Metropolitan Statistical Area)",0
263,37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",0
264,37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",0
265,37460,"Panama City, FL (Metropolitan Statistical Area)",0
266,37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",0
267,37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",0
268,37900,"Peoria, IL (Metropolitan Statistical Area)",0
269,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",1
270,38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",3
271,38220,"Pine Bluff, AR (Metropolitan Statistical Area)",0
272,38300,"Pittsburgh, PA (Metropolitan Statistical Area)",3
273,38340,"Pittsfield, MA (Metropolitan Statistical Area)",0
274,38540,"Pocatello, ID (Metropolitan Statistical Area)",0
275,38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",0
276,38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",3
277,38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",0
278,39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",0
279,39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",0
280,39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",3
281,39340,"Provo-Orem, UT (Metropolitan Statistical Area)",0
282,39380,"Pueblo, CO (Metropolitan Statistical Area)",0
283,39460,"Punta Gorda, FL (Metropolitan Statistical Area)",0
284,39540,"Racine, WI (Metropolitan Statistical Area)",0
285,39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",3
286,39660,"Rapid City, SD (Metropolitan Statistical Area)",0
287,39740,"Reading, PA (Metropolitan Statistical Area)",0
288,39820,"Redding, CA (Metropolitan Statistical Area)",0
289,39900,"Reno, NV (Metropolitan Statistical Area)",0
290,40060,"Richmond, VA (Metropolitan Statistical Area)",0
291,40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",3
292,40220,"Roanoke, VA (Metropolitan Statistical Area)",0
293,40340,"Rochester, MN (Metropolitan Statistical Area)",0
294,40380,"Rochester, NY (Metropolitan Statistical Area)",0
295,40420,"Rockford, IL (Metropolitan Statistical Area)",0
296,40580,"Rocky Mount, NC (Metropolitan Statistical Area)",0
297,40660,"Rome, GA (Metropolitan Statistical Area)",0
298,40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",3
299,40980,"Saginaw, MI (Metropolitan Statistical Area)",0
300,41060,"St. Cloud, MN (Metropolitan Statistical Area)",0
301,41100,"St. George, UT (Metropolitan Statistical Area)",0
302,41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",0
303,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",3
304,41420,"Salem, OR (Metropolitan Statistical Area)",0
305,41500,"Salinas, CA (Metropolitan Statistical Area)",0
306,41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",0
307,41620,"Salt Lake City, UT (Metropolitan Statistical Area)",3
308,41660,"San Angelo, TX (Metropolitan Statistical Area)",0
309,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",3
310,41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",3
311,41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",1
312,41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",1
313,42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",0
314,42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",0
315,42140,"Santa Fe, NM (Metropolitan Statistical Area)",0
316,42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",0
317,42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",0
318,42340,"Savannah, GA (Metropolitan Statistical Area)",0
319,42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",0
320,42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",1
321,42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",0
322,42700,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",0
323,43100,"Sheboygan, WI (Metropolitan Statistical Area)",0
324,43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",0
325,43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",0
326,43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",0
327,43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",0
328,43620,"Sioux Falls, SD (Metropolitan Statistical Area)",0
329,43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",0
330,43900,"Spartanburg, SC (Metropolitan Statistical Area)",0
331,44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",0
332,44100,"Springfield, IL (Metropolitan Statistical Area)",0
333,44140,"Springfield, MA (Metropolitan Statistical Area)",0
334,44180,"Springfield, MO (Metropolitan Statistical Area)",0
335,44220,"Springfield, OH (Metropolitan Statistical Area)",0
336,44300,"State College, PA (Metropolitan Statistical Area)",0
337,44420,"Staunton, VA (Metropolitan Statistical Area)",0
338,44700,"Stockton, CA (Metropolitan Statistical Area)",0
339,44940,"Sumter, SC (Metropolitan Statistical Area)",0
340,45060,"Syracuse, NY (Metropolitan Statistical Area)",0
341,45220,"Tallahassee, FL (Metropolitan Statistical Area)",0
342,45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",3
343,45460,"Terre Haute, IN (Metropolitan Statistical Area)",0
344,45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",0
345,45540,"The Villages, FL (Metropolitan Statistical Area)",0
346,45780,"Toledo, OH (Metropolitan Statistical Area)",0
347,45820,"Topeka, KS (Metropolitan Statistical Area)",0
348,45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",0
349,46060,"Tucson, AZ (Metropolitan Statistical Area)",0
350,46140,"Tulsa, OK (Metropolitan Statistical Area)",0
351,46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",0
352,46300,"Twin Falls, ID (Metropolitan Statistical Area)",0
353,46340,"Tyler, TX (Metropolitan Statistical Area)",0
354,46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",0
